,Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Patch
93,Lillia,Fighter,TOP,D,24.34,-9.25,49.2,11.49,0.4,1.01,1.96,12.1
94,Lissandra,Mage,MID,A,47.29,1.22,50.65,91.16,2.72,0.66,2.41,12.1
95,Lucian,Marksman,ADC,A,48.48,-7.7,49.26,86.34,8.84,3.12,2.25,12.1
96,Lulu,Support,SUPPORT,God,93.56,0.75,50.84,97.72,14.3,25.68,3.12,12.1
97,Lux,Mage,SUPPORT,God,82.29,-6.67,50.26,68.48,14.64,12.26,2.53,12.1
98,Lux,Mage,MID,S,66.92,-0.9,51.08,29.3,6.48,12.26,2.97,12.1
99,Malphite,Tank,TOP,S,67.63,5.41,51.19,75.04,4.68,4.01,2.41,12.1
100,Malphite,Tank,MID,B,40.23,-3.72,50.49,11.99,0.71,4.01,2.4,12.1
101,Malphite,Tank,SUPPORT,D,29.17,-1.81,46.13,11.03,0.78,4.12,2.05,12.1
102,Malzahar,Mage,MID,A,49.57,5.18,50.92,91.35,3.43,3.03,2.22,12.1
103,Maokai,Tank,SUPPORT,B,39.51,-0.65,50.16,80.13,1.46,0.16,2.23,12.1
104,Maokai,Tank,TOP,D,24.65,-6.31,49.13,17.24,0.32,0.17,2.1,12.1
105,Master Yi,Assassin,JUNGLE,S,64.59,-3.49,49.74,93.04,7.64,18.96,2.02,12.1
106,Miss Fortune,Marksman,ADC,A,50.67,-1.8,50.1,95.35,8.87,2.12,2.3,12.1
107,Mordekaiser,Fighter,TOP,S,65.95,14.48,49.82,87.43,5.31,5.99,1.79,12.1
108,Morgana,Mage,SUPPORT,S,71.03,-1.92,49.76,92.49,9.13,26.95,2.51,12.1
109,Nami,Support,SUPPORT,S,73.29,-2.3,51.52,99.76,11.3,2.6,3.24,12.1
110,Nasus,Fighter,TOP,S,64.96,7.18,51.83,85.1,4.49,4.36,1.98,12.1
111,Nautilus,Tank,SUPPORT,S,60.25,2.25,49.81,98.25,8.69,7.77,2.32,12.1
112,Neeko,Mage,MID,C,37.75,0.46,48.66,62.3,1.3,0.28,2.22,12.1
113,Neeko,Mage,SUPPORT,D,31.53,2.13,47.99,23.38,0.5,0.3,1.95,12.1
114,Nidalee,Assassin,JUNGLE,A,49.1,-0.37,48.98,92.41,4.41,2.64,2.95,12.1
115,Nocturne,Assassin,JUNGLE,B,39.71,-6.54,48.05,86.82,3.12,3.24,2.39,12.1
116,Nunu,Tank,JUNGLE,A,55.47,0.61,51.79,89.52,4.35,2.38,3.04,12.1
117,Olaf,Fighter,JUNGLE,C,36.61,5.55,49.07,84.79,1.48,0.85,2.45,12.1
118,Olaf,Fighter,TOP,D,11.03,-6.16,45.46,15.64,0.27,0.92,1.63,12.1
119,Orianna,Mage,MID,A,47.05,1.97,49.56,95.43,2.89,0.18,2.66,12.1
120,Ornn,Tank,TOP,A,59.57,4.58,50.83,94.19,4.04,0.43,2.3,12.1
121,Pantheon,Fighter,MID,B,41.54,-2.49,50.8,27.31,1.16,0.89,2.25,12.1
122,Pantheon,Fighter,SUPPORT,D,32.78,-2.48,47.0,39.76,1.78,0.89,1.89,12.1
123,Pantheon,Fighter,TOP,D,30.79,-10.85,49.68,26.73,0.93,0.89,2.1,12.1
124,Poppy,Tank,JUNGLE,B,41.6,-2.14,49.59,47.97,2.3,2.3,2.65,12.1
125,Poppy,Tank,TOP,B,39.88,-5.73,49.78,43.37,1.98,2.3,2.14,12.1
126,Pyke,Support,SUPPORT,S,59.89,-0.91,49.35,88.3,8.57,12.77,2.17,12.1
127,Qiyana,Assassin,MID,A,56.52,2.17,51.04,58.68,4.73,13.69,2.14,12.1
128,Qiyana,Assassin,JUNGLE,B,42.89,-0.24,48.92,37.84,2.94,13.69,2.42,12.1
129,Quinn,Marksman,TOP,C,36.42,-5.78,51.71,83.36,1.19,0.51,1.89,12.1
130,Rakan,Support,SUPPORT,A,54.12,-1.22,50.52,98.47,5.55,0.41,2.94,12.1
131,Rammus,Tank,JUNGLE,A,48.15,0.36,51.71,93.45,2.41,3.14,2.9,12.1
132,Rek'Sai,Fighter,JUNGLE,A,49.57,-0.79,51.4,96.79,3.69,2.52,2.51,12.1
133,Rell,Tank,SUPPORT,B,42.96,0.27,50.61,99.47,2.13,0.49,2.42,12.1
134,Renekton,Fighter,TOP,A,50.6,6.84,48.17,86.48,4.1,2.05,1.91,12.1
135,Renekton,Fighter,MID,B,41.32,3.85,51.78,12.93,0.63,2.05,2.19,12.1
136,Rengar,Assassin,JUNGLE,B,39.34,3.97,48.44,77.99,2.97,2.68,2.28,12.1
137,Rengar,Assassin,TOP,D,22.41,-8.95,47.43,20.91,0.91,2.31,1.77,12.1
138,Riven,Fighter,TOP,S,65.68,6.18,51.3,91.86,4.88,2.3,1.99,12.1
139,Rumble,Fighter,MID,B,45.65,1.36,52.28,37.76,0.95,0.26,2.64,12.1
140,Rumble,Fighter,JUNGLE,C,36.12,1.29,49.65,13.54,0.31,0.26,2.82,12.1
141,Rumble,Fighter,TOP,D,25.32,-2.02,47.57,46.6,1.01,0.26,2.02,12.1
142,Ryze,Mage,MID,C,35.12,-1.72,45.97,82.39,2.15,0.2,2.15,12.1
143,Ryze,Mage,TOP,D,14.3,-7.36,45.91,16.26,0.43,0.2,1.74,12.1
144,Samira,Marksman,ADC,B,44.4,-3.44,48.52,98.1,7.22,11.15,2.19,12.1
145,Sejuani,Tank,JUNGLE,B,40.92,-8.34,48.26,82.05,2.29,0.31,3.09,12.1
146,Sejuani,Tank,TOP,D,30.67,-2.66,50.5,13.18,0.32,0.34,2.43,12.1
147,Senna,Marksman,SUPPORT,B,46.43,-2.7,48.2,85.15,4.94,1.52,2.54,12.1
148,Senna,Marksman,ADC,C,36.3,-2.53,50.62,13.18,0.7,1.52,2.82,12.1
149,Seraphine,Mage,ADC,B,45.21,5.14,54.15,16.88,0.71,1.03,3.07,12.1
150,Seraphine,Mage,MID,B,42.18,-1.79,50.09,15.62,0.76,1.03,2.9,12.1
151,Seraphine,Mage,SUPPORT,B,39.72,-1.97,46.66,67.22,3.69,1.03,2.47,12.1
152,Sett,Fighter,TOP,God,90.23,15.56,49.6,83.89,8.23,7.37,1.76,12.1
153,Shaco,Assassin,JUNGLE,S,62.92,3.87,51.66,82.67,5.98,17.16,2.75,12.1
154,Shaco,Assassin,SUPPORT,B,43.5,3.21,52.04,14.17,1.03,17.16,2.44,12.1
155,Shen,Tank,TOP,God,88.45,20.45,52.74,87.85,6.34,2.06,2.98,12.1
156,Shyvana,Fighter,JUNGLE,C,35.87,-5.1,48.72,82.59,1.49,0.25,2.45,12.1
157,Shyvana,Fighter,TOP,D,23.83,-11.61,49.83,12.59,0.21,0.26,1.88,12.1
158,Singed,Tank,TOP,B,39.17,-0.57,50.95,77.1,1.65,0.42,2.04,12.1
159,Sion,Tank,TOP,A,52.81,4.16,51.27,84.01,3.7,0.7,1.63,12.1
160,Sivir,Marksman,ADC,B,39.74,1.71,51.04,97.68,2.69,0.46,2.53,12.1
161,Skarner,Fighter,JUNGLE,C,33.16,-7.62,47.83,76.0,0.74,0.16,2.76,12.1
162,Skarner,Fighter,TOP,D,23.89,-6.83,48.9,22.21,0.18,0.16,2.22,12.1
163,Sona,Support,SUPPORT,A,57.27,-2.71,52.85,97.98,4.94,1.0,2.98,12.1
164,Soraka,Support,SUPPORT,S,62.15,-1.48,52.28,96.57,7.25,4.08,2.79,12.1
165,Swain,Mage,MID,B,44.02,4.28,52.3,11.3,0.4,1.76,2.67,12.1
166,Swain,Mage,ADC,B,41.33,2.36,53.12,21.43,0.55,1.76,2.85,12.1
167,Swain,Mage,SUPPORT,B,40.06,-1.79,48.89,62.01,2.54,1.61,2.24,12.1
168,Sylas,Mage,MID,A,58.98,0.78,49.56,75.03,6.95,4.24,2.14,12.1
169,Sylas,Mage,TOP,C,33.03,-5.81,47.86,21.17,1.98,4.24,1.86,12.1
170,Syndra,Mage,MID,A,49.27,2.47,49.35,89.61,4.24,1.16,2.26,12.1
171,Tahm Kench,Support,TOP,God,91.8,21.07,51.28,92.57,6.48,16.24,2.6,12.1
172,Taliyah,Mage,SUPPORT,B,42.4,2.15,53.6,15.08,0.26,0.18,2.1,12.1
173,Taliyah,Mage,MID,C,38.86,0.0,50.43,16.58,0.25,0.19,2.47,12.1
174,Taliyah,Mage,JUNGLE,C,36.79,-5.52,49.22,64.73,1.18,0.19,2.61,12.1
175,Talon,Assassin,JUNGLE,S,61.2,-11.56,49.65,73.79,6.45,21.59,2.41,12.1
176,Talon,Assassin,MID,B,43.48,1.37,49.27,25.14,2.14,21.59,2.17,12.1
177,Taric,Support,SUPPORT,B,42.25,5.02,50.53,89.39,1.29,0.16,2.82,12.1
178,Teemo,Marksman,TOP,S,62.74,-5.25,49.11,84.36,4.91,9.6,1.71,12.1
179,Thresh,Support,SUPPORT,S,69.49,-2.82,48.88,99.4,12.27,6.42,2.57,12.1
180,Tristana,Marksman,ADC,B,40.29,-0.82,49.2,87.49,5.35,2.39,2.24,12.1
181,Tristana,Marksman,MID,C,35.1,0.0,49.32,10.2,0.48,2.39,2.0,12.1
182,Trundle,Fighter,JUNGLE,A,55.13,1.44,52.85,62.99,3.86,2.6,2.84,12.1
183,Trundle,Fighter,TOP,B,44.04,3.38,52.78,31.17,1.84,2.6,1.83,12.1
184,Tryndamere,Fighter,TOP,God,76.6,11.36,51.0,82.71,5.76,12.72,1.89,12.1
185,Tryndamere,Fighter,MID,C,38.31,-6.63,49.93,12.91,0.82,12.72,2.09,12.1
186,Twisted Fate,Mage,MID,A,49.57,-0.72,48.96,94.59,4.41,1.32,2.34,12.1
187,Twitch,Marksman,ADC,A,50.77,1.31,52.14,81.44,6.69,4.21,2.42,12.1
188,Udyr,Fighter,JUNGLE,C,36.98,-5.24,48.61,95.02,1.73,0.61,2.55,12.1
189,Urgot,Fighter,TOP,S,63.91,13.1,53.01,96.14,4.1,2.01,2.0,12.1
190,Varus,Marksman,ADC,D,31.43,-1.14,48.09,92.08,2.36,0.19,2.3,12.1
191,Vayne,Marksman,ADC,S,72.55,-10.08,51.99,85.85,13.6,22.28,2.19,12.1
192,Vayne,Marksman,TOP,B,41.86,-10.49,51.27,12.63,1.86,22.28,1.53,12.1
193,Veigar,Mage,MID,A,46.97,-4.8,48.94,71.45,3.79,1.26,2.26,12.1
194,Veigar,Mage,ADC,C,36.29,-0.33,51.96,14.47,0.64,1.36,2.4,12.1
195,Veigar,Mage,SUPPORT,D,31.56,0.56,47.5,12.84,0.73,1.36,2.02,12.1
196,Vel'Koz,Mage,MID,B,45.01,-1.07,51.46,41.65,1.19,0.52,2.67,12.1
197,Vel'Koz,Mage,SUPPORT,B,39.16,-1.85,49.44,56.29,1.96,0.55,2.17,12.1
198,Vex,Mage,MID,God,76.85,10.71,50.76,84.52,9.15,19.25,2.48,12.1
199,Vex,Mage,SUPPORT,D,30.31,-6.68,45.55,13.19,1.44,19.25,1.99,12.1
200,Vi,Fighter,JUNGLE,A,58.46,-3.59,52.2,94.44,5.89,3.12,2.45,12.1
201,Viego,Assassin,JUNGLE,God,82.48,0.59,49.74,94.84,13.03,14.22,2.46,12.1
202,Viktor,Mage,MID,God,81.46,-0.14,51.1,84.98,10.55,16.0,2.35,12.1
203,Viktor,Mage,TOP,C,37.59,-11.51,49.8,13.16,1.65,16.0,1.88,12.1
204,Vladimir,Mage,MID,A,55.71,5.34,51.58,74.42,4.37,5.72,2.45,12.1
205,Vladimir,Mage,TOP,C,32.87,-6.05,49.12,23.57,1.37,5.72,2.03,12.1
206,Volibear,Fighter,JUNGLE,B,39.63,1.84,49.23,41.7,2.19,1.48,2.5,12.1
207,Volibear,Fighter,TOP,D,32.21,-8.58,46.11,56.03,2.58,1.48,1.79,12.1
208,Warwick,Fighter,JUNGLE,A,52.78,-3.57,49.76,73.58,5.84,5.6,2.25,12.1
209,Warwick,Fighter,TOP,D,31.35,-7.37,49.36,24.85,1.2,5.6,1.94,12.1
210,Wukong,Fighter,TOP,B,43.24,-1.75,50.56,78.66,2.22,0.61,2.12,12.1
211,Wukong,Fighter,JUNGLE,C,32.92,-4.87,48.8,14.19,0.38,0.62,2.54,12.1
212,Xayah,Marksman,ADC,B,40.54,1.61,50.67,98.76,3.87,0.53,2.37,12.1
213,Xerath,Mage,MID,A,53.25,5.16,51.01,38.11,2.97,5.53,3.17,12.1
214,Xerath,Mage,SUPPORT,A,49.68,-5.49,49.84,56.29,4.76,5.53,2.54,12.1
215,Xin Zhao,Fighter,JUNGLE,A,57.04,1.14,50.23,96.2,6.76,4.18,2.44,12.1
216,Yasuo,Fighter,MID,God,86.16,-0.04,49.56,71.44,11.77,24.41,1.74,12.1
217,Yasuo,Fighter,TOP,B,39.96,-14.89,47.77,16.35,2.53,24.41,1.45,12.1
218,Yasuo,Fighter,ADC,C,34.41,-3.91,50.52,11.7,1.82,24.41,1.95,12.1
219,Yone,Assassin,MID,S,74.16,-7.47,48.42,60.52,9.35,27.32,1.84,12.1
220,Yone,Assassin,TOP,S,71.87,-20.17,47.59,37.77,5.42,27.32,1.58,12.1
221,Yorick,Fighter,TOP,B,46.07,-0.42,51.3,96.77,2.74,2.26,1.65,12.1
222,Yuumi,Support,SUPPORT,God,79.72,-2.67,47.77,99.12,10.75,28.68,4.11,12.1
223,Zac,Tank,JUNGLE,A,57.82,-0.01,51.43,84.9,4.39,2.11,3.61,12.1
224,Zed,Assassin,MID,God,90.5,-0.27,50.87,67.21,8.84,41.88,2.31,12.1
225,Zed,Assassin,JUNGLE,A,49.18,-5.06,48.63,29.94,3.34,41.88,2.47,12.1
226,Ziggs,Mage,ADC,B,43.63,-0.16,53.51,68.66,2.2,0.6,2.51,12.1
227,Ziggs,Mage,MID,C,36.44,-0.6,48.37,24.85,0.86,0.6,2.36,12.1
228,Zilean,Support,MID,A,52.2,1.35,54.19,14.12,0.56,1.4,3.46,12.1
229,Zilean,Support,SUPPORT,A,49.44,1.68,50.83,81.95,3.38,1.4,3.03,12.1
230,Zoe,Mage,MID,A,49.77,4.62,49.84,94.18,3.62,1.41,2.58,12.1
231,Zyra,Mage,SUPPORT,A,49.55,1.74,52.18,92.46,3.85,1.96,2.13,12.1
232,Aatrox,Fighter,TOP,S,66.17,-11.0,48.23,91.94,6.36,5.83,1.88,12.10
233,Ahri,Mage,MID,God,79.46,-0.88,50.7,95.49,10.48,10.29,2.72,12.10
234,Akali,Assassin,MID,A,56.04,-6.6,47.42,65.77,6.03,13.84,2.32,12.10
235,Akali,Assassin,TOP,B,44.73,-4.9,47.12,33.33,2.93,13.84,2.08,12.10
236,Akshan,Marksman,MID,A,47.55,-4.99,49.5,62.98,3.11,8.64,2.23,12.10
237,Akshan,Marksman,TOP,B,43.63,-1.19,51.55,29.09,1.49,8.64,2.03,12.10
238,Alistar,Tank,SUPPORT,B,42.34,-5.45,47.39,96.61,3.61,0.93,2.36,12.10
239,Amumu,Tank,JUNGLE,B,39.49,0.7,48.93,85.98,2.54,1.1,2.51,12.10
240,Amumu,Tank,SUPPORT,C,35.21,2.14,48.65,10.34,0.29,1.17,1.92,12.10
241,Anivia,Mage,MID,A,56.22,5.68,51.8,84.64,3.79,4.21,2.74,12.10
242,Anivia,Mage,SUPPORT,C,34.61,2.74,47.4,10.84,0.41,4.09,2.27,12.10
243,Annie,Mage,MID,B,43.26,-0.26,49.82,83.86,1.73,0.65,2.36,12.10
244,Annie,Mage,SUPPORT,C,37.49,10.56,49.45,10.13,0.2,0.65,2.19,12.10
245,Aphelios,Marksman,ADC,D,30.76,-5.09,45.96,96.96,5.67,0.9,1.96,12.10
246,Ashe,Marksman,ADC,A,53.6,7.09,51.85,75.52,7.15,1.09,2.46,12.10
247,Ashe,Marksman,SUPPORT,C,38.59,-0.6,47.36,20.85,1.94,1.09,2.4,12.10
248,Aurelion Sol,Mage,MID,B,41.85,2.32,49.61,87.62,1.24,0.41,2.49,12.10
249,Azir,Mage,MID,B,43.3,5.62,48.34,86.67,2.68,0.54,2.3,12.10
250,Bard,Support,SUPPORT,A,51.39,2.57,50.81,97.04,3.66,0.5,3.07,12.10
251,Blitzcrank,Tank,SUPPORT,A,58.0,-5.13,50.82,98.14,6.42,15.65,2.44,12.10
252,Brand,Mage,SUPPORT,A,48.33,4.04,51.17,67.1,3.78,5.14,1.93,12.10
253,Brand,Mage,MID,A,47.54,7.05,53.43,20.78,1.11,5.58,2.18,12.10
254,Braum,Support,SUPPORT,A,47.79,4.02,50.74,98.59,2.46,0.33,2.9,12.10
255,Caitlyn,Marksman,ADC,B,45.09,-3.74,46.65,96.4,8.47,5.85,2.18,12.10
256,Camille,Fighter,TOP,S,63.83,3.45,47.97,94.89,6.2,3.8,1.9,12.10
257,Cassiopeia,Mage,MID,B,45.8,1.57,50.18,74.8,2.52,1.72,2.17,12.10
258,Cassiopeia,Mage,TOP,D,33.14,5.06,50.42,15.96,0.5,1.66,1.88,12.10
259,Cho'Gath,Tank,TOP,B,43.26,-8.74,49.14,67.17,2.45,0.86,2.03,12.10
260,Cho'Gath,Tank,MID,B,40.1,-5.43,50.29,18.89,0.62,0.92,2.28,12.10
261,Corki,Marksman,MID,B,42.25,5.54,49.03,90.05,1.92,0.46,2.34,12.10
262,Darius,Fighter,TOP,God,92.94,7.34,51.37,93.11,8.2,17.63,1.9,12.10
263,Diana,Fighter,JUNGLE,S,66.69,-8.3,50.82,83.33,8.0,8.76,2.5,12.10
264,Diana,Fighter,MID,B,45.4,0.42,51.79,15.06,1.43,8.76,2.13,12.10
265,Dr. Mundo,Marksman,TOP,A,50.26,3.72,51.8,85.13,2.31,1.36,2.3,12.10
266,Draven,Fighter,ADC,B,40.93,-0.94,49.8,94.66,5.11,9.61,2.11,12.10
267,Ekko,Assassin,JUNGLE,A,54.85,0.2,51.81,65.95,4.51,3.13,2.83,12.10
268,Ekko,Assassin,MID,B,43.2,-2.81,49.05,31.92,2.2,3.16,2.29,12.10
269,Elise,Mage,JUNGLE,D,29.66,-4.24,46.42,92.44,1.32,0.77,2.51,12.10
270,Evelynn,Assassin,JUNGLE,C,36.93,-3.9,46.08,98.54,2.78,5.01,2.86,12.10
